rank,id,priority,score,sequence_bucket,owner_suggested,module,legacy_type,status,legacy_path,proposed_replacement,action,dependency,acceptance_criteria,notes
11,MAP-011,P0,1240,S1-Contracts,Integration Team,Portal/WebParts/Integration/IntegrationParts,ashx,Mapped-Probable,Portal/WebParts/Integration/IntegrationParts/Apps/Integration/Streaming/VerifySession.ashx,Portal/WebParts/Integration/IntegrationParts/Api/MemberApiController.cs,Implement/confirm API replacement endpoint,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",Streaming session validation likely consolidated under API
12,MAP-010,P0,1205,S1-Contracts,Integration Team,Portal/WebParts/Integration/IntegrationParts,asmx,Mapped-Direct,Portal/WebParts/Integration/IntegrationParts/Apps/Integration/Profile/MemberService.asmx,Portal/WebParts/Integration/IntegrationParts/Api/MemberApiController.cs,Validate and wire endpoint contract parity,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",Direct mapped replacement identified from current API/controller structure.
13,MAP-174,P0,1205,S1-Contracts,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,asmx,Mapped-Direct,Portal/WebSystem/WebSystem-MVC/Content/Parts/Common/FxService.asmx,Portal/WebSystem/WebSystem-MVC/Api/FrameworkApiController.cs,Validate and wire endpoint contract parity,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",Direct mapped replacement identified from current API/controller structure.
14,MAP-008,P0,1180,S1-Contracts,Integration Team,Portal/WebParts/Integration/IntegrationParts,asmx,Mapped-Direct,Portal/WebParts/Integration/IntegrationParts/Apps/Integration/BibleReader/BibleService.asmx,BibleReader/BibleReader/Api/BibleApiController.cs,Validate and wire endpoint contract parity,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",Direct mapped replacement identified from current API/controller structure.
15,MAP-003,P0,1165,S1-Contracts,BibleReader Team,BibleReader/BibleReader,asmx,Mapped-Direct,BibleReader/BibleReader/BibleService.asmx,BibleReader/BibleReader/Api/BibleApiController.cs,Validate and wire endpoint contract parity,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",Direct mapped replacement identified from current API/controller structure.
16,MAP-159,P1,855,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ascx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/Security/UserActivities.ascx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
17,MAP-136,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,aspx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Admin/WebBinding.aspx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
18,MAP-137,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,aspx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Admin/WebBindings.aspx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
19,MAP-138,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,aspx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Admin/WebEvents.aspx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
20,MAP-139,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,aspx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Admin/WebLogs.aspx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
21,MAP-140,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,aspx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Admin/WebOpen.aspx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
22,MAP-155,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ascx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/Controls/UserProfileForm.ascx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
23,MAP-156,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ascx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/Controls/UserRolesForm.ascx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
24,MAP-158,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ascx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/Misc/WebResourceManager.ascx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
25,MAP-160,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ascx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/Tools/ImportExportHome.ascx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
26,MAP-161,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ascx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/Tools/ImportExportPage.ascx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
27,MAP-162,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ascx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/Tools/ImportExportParameterSets.ascx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
28,MAP-163,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ascx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/Tools/MessageQueueManager.ascx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
29,MAP-165,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ascx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/Tools/SmtpAnalyzer.ascx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
30,MAP-170,P1,830,S2-CMS-Core,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ascx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/WebOpen.ascx,,Design and implement modern replacement or approved retirement,CMS data seed + admin role/permission baseline,Feature reachable from /Central and executes without 404/runtime errors,No deterministic replacement found.
